week 26
   166545 1976PARIS19365 0.000615468156026 | 1976-07-01 | PARIS | STATE | LUNCHEON CONVERSATION WITH PRC AMBASSADOR
   166565 1976PARIS19445 0.000441407453725 | 1976-07-02 | PARIS | STATE | : BIO CAT. 1, FRENCH NATIONAL, NGUYEN THI THIEN AGNES, FAMILY OF TWO
   166537 1976PARIS19293 0.000440838044741 | 1976-07-01 | PARIS | STATE | UNESCO: RECRUITING VISIT OF NICHOLAS G. VARKADOS
   166543 1976PARIS19341 0.000438377742789 | 1976-07-01 | PARIS | STATE | GOVERNOR SCRANTON'S EUROPEAN TRIP
   166538 1976PARIS19294 0.000437554632617 | 1976-07-01 | PARIS | STATE | UNESCO SECRETARIAT POST (OPI-003)
   166556 1976PARIS19398 0.000436415412863 | 1976-07-02 | PARIS | STATE | BERLIN: QUAI COMMENTS ON MAJOR CURRENT ISSUES
   166546 1976PARIS19367 0.000434775337889 | 1976-07-01 | PARIS | STATE | UNESCO PROTECTION OF TRANSLATORS MEETING: REVISED PROPOSALS SECTION  III, PARA 5 OF
   166567 1976PARIS19452 0.000434502744075 | 1976-07-02 | PARIS | STATE BRUSSELS | NUCLEAR AND SPACE COOPERATION BETWEEN FRANCE AND THE USSR
   166570 1976PARIS19457 0.00043434734774 | 1976-07-02 | PARIS | STATE | ALLIANCE FOR ENVIRONMENTAL EDUCATION MEETING, CHAUTAUQUA, NEW YORK,  AUGUST 8-10, 1976
   166535 1976PARIS19284 0.000429744700408 | 1976-07-01 | PARIS | STATE | : BIO CAT' 1, LAOTIAN NATIONAL, NANG MA MANY, FAMILY OF ONE
   166563 1976PARIS19441 0.000429744700408 | 1976-07-02 | PARIS | STATE | : BIO.CAT.2,LAOTIAN NATIONAL, FAMILY OF ONE
   166525 1976PARIS19239 0.000423285750082 | 1976-07-01 | PARIS | STATE | PRIVATE BID FOR CCTV INSTALLATION
   166596 1976PARIS19602 0.00042292727674 | 1976-07-06 | PARIS | STATE | W/W FRANCOIS LEPICARD AND SON
   166562 1976PARIS19432 0.000419625975746 | 1976-07-02 | PARIS | STATE | UNESCO CONFERENCE ON PROTECTION OF TRANSLATORS
   166607 1976PARIS19697 0.000407014458787 | 1976-07-07 | PARIS | STATE | US PROPOSAL FOR INTERNATIONAL AGREEMENT ON ILLICIT PAYMENTS
   166561 1976PARIS19431 0.000406835512123 | 1976-07-02 | PARIS | STATE | UNESCO DG AND MRS. M'BOW ON PLANE WITH PRESIDENT SUDAN INVOLVED IN  ATTEMPTED
*  166529 1976PARIS19258 0.000379759027944 | 1976-07-01 | PARIS | STATE | AIR FRANCE HIJACKING ACCORDING TO SUDANESE MEMBER OF UNESCO  SECRETARIAT
   166533 1976PARIS19276 0.000373606514375 | 1976-07-01 | PARIS | STATE | U.S. DELEGATION TO UNESCO INTERGOVERNMENTAL CONFERENCE ON  COMMUNICATION POLICIES IN
   166548 1976PARIS19380 0.000367427317263 | 1976-07-02 | PARIS | STATE | EXIMBANK FINANCING FOR U.S. PORTION OF FRENCH BID ON BRAZILIAN  SATELLITE PROJECT
   166611 1976PARIS19723 0.000363228223545 | 1976-07-07 | PARIS | STATE | EXPORT OF ADVANCED COMPUTER TO FRANCE
   166592 1976PARIS19590 0.000352306019542 | 1976-07-06 | PARIS | STATE | ISRAELI RESCUE OF AIR FRANCE HOSTAGES AT JULY 4 RECEPTION QUAI  SECRETARY OF STATE FRANCOIS-
   166572 1976PARIS19461 0.000342030381784 | 1976-07-02 | PARIS | STATE | FRENCH US SCIENCE COOPERATION JOINT USGS/IFP ATLANTIC OCEAN SEISMIC  SURVEY PROJECT
   166598 1976PARIS19606 0.000341714856121 | 1976-07-06 | PARIS | STATE | W/W MARY ANN DAWSON HAUCK
   166617 1976PARIS19763 0.00032993690286 | 1976-07-07 | PARIS | STATE | UNESCO RECRUITMENT
   166604 1976PARIS19683 0.00032904323667 | 1976-07-06 | PARIS | ROME | CODEL JAVITS
   166587 1976PARIS19565 0.00032819415692 | 1976-07-03 | PARIS | STATE | MESSAGE FROM SENATOR PERCY SENATOR PERCY WISHED THE FOLLOWING MESSAGE  TO BE PASSED
   166616 1976PARIS19760 0.000321234418767 | 1976-07-07 | PARIS | STATE | : INDOCHINESE REFUGEE PROGRAM - LE THI CHAT
   166595 1976PARIS19601 0.000303369941573 | 1976-07-06 | PARIS | STATE | TRAVEL PLANS, FRANK NATLOR
   166618 1976PARIS19785 0.000278455154347 | 1976-07-07 | PARIS | STATE | FLORA LEWIS REQUEST FOR SOV AND EE PRESS REACTIONS TO ECPC
   166583 1976PARIS19540 0.000252507762883 | 1976-07-02 | PARIS | STATE | CIVAIR: UK DENOUNCES BERMUDA AGREEMENT
   166573 1976PARIS19512 0.000245358935521 | 1976-07-02 | PARIS | STATE | GDR CONSULAR NEGOTIATIONS: FRENCH AGREE TO NEW ROUND IN FALL
   166609 1976PARIS19711 0.000242202779486 | 1976-07-07 | PARIS | BANGKOK | VIETNAMESE RELEASE OF NINE AMERICANS
   166590 1976PARIS19570 0.000238996441485 | 1976-07-04 | PARIS | STATE | TRAVEL OF UNESCO DIRECTOR GENERAL
   166622 1976PARIS19796 0.000237995434498 | 1976-07-07 | PARIS | STATE | SENATE APPROPRIATIONS STAFF INSPECTION
   166588 1976PARIS19566 0.000229588007679 | 1976-07-03 | PARIS | STATE | TELEPHONED THREAT AGAINST DCM AT APPROXIMATELY 1230 HOURS JULY 3, DCM  RESIDENCE
   166624 1976PARIS19801 0.000225326390313 | 1976-07-07 | PARIS | STATE | W/W: PENELOPE PARKER
   166584 1976PARIS19561 0.000194318130286 | 1976-07-03 | PARIS | STATE | LETTER TO SECRETARY KISSINGER FROM FOREIGN MINISTER SAUVAGNARGUES
   166612 1976PARIS19729 0.000176987157871 | 1976-07-07 | PARIS | STATE | FACILITATIVE ASSISTANCE: ALAIN GILLETTE
 * 166602 1976PARIS19644 0.000164977286171 | 1976-07-06 | PARIS | STATE | POSSIBLE SC MEETING ON ISRAELI RESCUE OPERATION
   166599 1976PARIS19616 0.000136082806477 | 1976-07-06 | PARIS | STATE | MINIMUM WAGE RATE
*  166586 1976PARIS19564 0.000132592642897 | 1976-07-03 | PARIS | STATE | AIR FRANCE HIJACKING
   166610 1976PARIS19712 0.000116459551154 | 1976-07-07 | PARIS | STATE | ECPC: QUAI'S SUMMING UP
   166627 1976PARIS19860 0.000113284573404 | 1976-07-07 | PARIS | STATE | CIVAIR: GOF POSITION ON EXCESS BAGGAGE CHARGES FAA
   166580 1976PARIS19529 0.000108336536553 | 1976-07-02 | PARIS | STATE | CIVAIR: AIR FRANCE'S FINANCIAL LOSSES DUE TO CONCORDE
   166605 1976PARIS19686 0.000104401335085 | 1976-07-06 | PARIS | STATE | AMERICAN AIRLINES PACIFIC CHARTERS
   166615 1976PARIS19757 0.00010165668827 | 1976-07-07 | PARIS | STATE | PARTICIPATION IN LATIN AMERICAN AND OTHER REGIONAL CONFERENCES OF FAO
   166613 1976PARIS19737 9.80399191384e-05 | 1976-07-07 | PARIS | STATE | ANTARCTIC SPECIAL PREPARATORY MEETING: SCIENTIFIC AND TECHNICAL  WORKING GROUP FIRST WEEK
   166626 1976PARIS19859 9.80274481143e-05 | 1976-07-07 | PARIS | STATE | CENTRONICS, CODEX AND OTHER APPLICATIONS - RESTRAINTS ON AMERICAN  INVESTMENT AND TRADE IN FRANCE
   166600 1976PARIS19638 9.59994173822e-05 | 1976-07-06 | PARIS | STATE | MINISTRY INTERIOR STUDY MISSION TO U.S.
   166591 1976PARIS19574 9.52991658369e-05 | 1976-07-05 | PARIS | STATE | VIETNAMESE ADVANCE DELEGATION TO UN
   166603 1976PARIS19681 9.22554493768e-05 | 1976-07-06 | PARIS | STATE | DRV DIPLOMAT'S REMARKS CONCERNING REUNIFI- CATION
 * 166593 1976PARIS19593 9.15577510228e-05 | 1976-07-06 | PARIS | STATE USUN NEW YORK | POSSIBLE SC MEETING ON ISRAELI RESCUE OPERATION
 * 166623 1976PARIS19798 8.83620043882e-05 | 1976-07-07 | PARIS | STATE | EXTRADITION -- GEORGE BROWN, JOYCE BURGESS, JEAN MCNAIR, MELVIN MCNAIR
   166575 1976PARIS19516 8.14695297642e-05 | 1976-07-02 | PARIS | STATE BANGKOK | FRENCH AIR LIFT FROM SAIGON
   166579 1976PARIS19525 7.22185844164e-05 | 1976-07-02 | PARIS | STATE | FINNISH-HOSTED SYMPOSIUM OF UNESCO NATIONAL COMMISSIONS OF CSCE FINAL  ACT SIGNATORIES ON CULTURAL
** 166547 1976PARIS19371 6.0124389416e-05 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
   166625 1976PARIS19858 5.823884642e-05 | 1976-07-07 | PARIS | STATE | FRENCH PROPOSAL FOR DIALOGUE WITH U.S. ON INDUSTRIAL POLICY AND  TECHNOLOGICAL INTERCHANGE
** 166614 1976PARIS19752 5.80546763391e-05 | 1976-07-07 | PARIS | STATE | AIR FRANCE HIJACKING
   166620 1976PARIS19794 5.08492232689e-05 | 1976-07-07 | PARIS | STATE | QUAI COMMENTS ON CURRENT EUROPEAN ISSUES
   166621 1976PARIS19795 4.85685941095e-05 | 1976-07-07 | PARIS | SECSTATE WASHDC LA PAZ MONTEVIDEO SANTIAGO BUENOS AIRES BRASILIA MADRID | INTERNATIONAL BRIGADE GIVES PRESS CONFERENCE BEGIN UNCLASSIFIED
   166597 1976PARIS19605 4.59138569198e-05 | 1976-07-06 | PARIS | STATE | UNESCO CONFERENCE ON PROTECTION OF TRANSLATORS
   166601 1976PARIS19643 4.29228062575e-05 | 1976-07-06 | PARIS | STATE | REISKY VISIT TO FRANCE

[166523, 166540, 166628, 166530, 166566, 166574, 166529, 166602, 166586, 166593, 166623, 166547, 166614]
